metric,PLS_n,PLS_mean,PLS_median,PLS_std,PLS_min,PLS_max,TECH_n,TECH_mean,TECH_median,TECH_std,TECH_min,TECH_max,ALL_n,ALL_mean,ALL_median,ALL_std,ALL_min,ALL_max
alpha_ratio,65,0.8551957802910373,0.862796833773087,0.06330966691266399,0.6491228070175439,0.9588477366255144,0,,,,,,65,0.8551957802910373,0.862796833773087,0.06330966691266397,0.6491228070175439,0.9588477366255144
automated_readability_index,65,18.88708309685451,18.45020080321285,5.083504245159854,8.629062499999996,33.95320695102685,0,,,,,,65,18.887083096854507,18.45020080321285,5.083504245159853,8.629062499999996,33.95320695102685
coleman_liau_index,65,14.277070873080675,14.26463878326996,2.3679794846757,8.19958333333333,21.234,0,,,,,,65,14.277070873080675,14.26463878326996,2.367979484675701,8.19958333333333,21.234
contains_lorem ipsum,65,0.0,0.0,0.0,0.0,0.0,0,,,,,,65,0.0,0.0,0.0,0.0,0.0
dependency_distance_mean,65,3.2888881096159475,3.183915886157265,0.5159721743960884,2.426882857006188,4.797727433121255,0,,,,,,65,3.288888109615948,3.183915886157265,0.5159721743960884,2.426882857006188,4.797727433121255
dependency_distance_std,65,0.9718028451885347,0.778507758745823,0.6632961007687933,0.0,4.570932915876944,0,,,,,,65,0.9718028451885345,0.778507758745823,0.6632961007687932,0.0,4.570932915876944
doc_length,65,343.7230769230769,332.0,153.83691727080537,21.0,774.0,0,,,,,,65,343.7230769230769,332.0,153.83691727080537,21.0,774.0
duplicate_line_chr_fraction,65,0.0,0.0,0.0,0.0,0.0,0,,,,,,65,0.0,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,65,0.03970729777139349,0.0,0.0787452265210757,0.0,0.3869944488501189,0,,,,,,65,0.039707297771393486,0.0,0.07874522652107568,0.0,0.3869944488501189
duplicate_ngram_chr_fraction_5,65,0.129191723850527,0.1068859198355601,0.10392625908673875,0.0,0.5567010309278351,0,,,,,,65,0.129191723850527,0.1068859198355601,0.10392625908673873,0.0,0.5567010309278351
duplicate_ngram_chr_fraction_6,65,0.09074712871130358,0.0678300954889693,0.09767830454891807,0.0,0.5416336241078509,0,,,,,,65,0.09074712871130358,0.0678300954889693,0.09767830454891807,0.0,0.5416336241078509
duplicate_ngram_chr_fraction_7,65,0.06577970274649754,0.0332688588007736,0.0910838476245958,0.0,0.4551942902458366,0,,,,,,65,0.06577970274649754,0.0332688588007736,0.0910838476245958,0.0,0.4551942902458366
duplicate_ngram_chr_fraction_8,65,0.055111963948797846,0.0,0.08429288727780651,0.0,0.3869944488501189,0,,,,,,65,0.05511196394879785,0.0,0.08429288727780652,0.0,0.3869944488501189
duplicate_ngram_chr_fraction_9,65,0.049578782341395025,0.0,0.08242106802026028,0.0,0.3869944488501189,0,,,,,,65,0.049578782341395025,0.0,0.08242106802026028,0.0,0.3869944488501189
duplicate_paragraph_chr_fraction,65,0.0,0.0,0.0,0.0,0.0,0,,,,,,65,0.0,0.0,0.0,0.0,0.0
entropy,65,12.877262414558768,11.812190269310442,6.841091768985618,0.6414965163268715,39.81305521090372,0,,,,,,65,12.877262414558768,11.812190269310442,6.841091768985619,0.6414965163268715,39.81305521090372
first_order_coherence,64,0.5615790449256216,0.5676074990899198,0.09941378330210475,0.3117800067578043,0.7654166221618652,0,,,,,,64,0.5615790449256216,0.5676074990899198,0.09941378330210476,0.3117800067578043,0.7654166221618652
flesch_kincaid_grade,65,21.250152084950887,20.821313131313136,3.9937416405947683,13.224041666666668,32.40145339652449,0,,,,,,65,21.25015208495089,20.821313131313136,3.993741640594768,13.224041666666668,32.40145339652449
flesch_reading_ease,65,-2.5201767412765954,-2.488258079847867,14.320776440683684,-33.700999999999965,34.450125000000014,0,,,,,,65,-2.5201767412765954,-2.488258079847867,14.320776440683684,-33.700999999999965,34.450125000000014
gunning_fog,65,26.22711740075796,25.76969696969697,4.3811371400525,17.680000000000003,38.26454013822435,0,,,,,,65,26.22711740075796,25.76969696969697,4.381137140052499,17.680000000000003,38.26454013822435
lix,65,66.66348506118993,64.94251796313652,10.614054235128139,42.6375,95.66135034556086,0,,,,,,65,66.66348506118993,64.94251796313652,10.614054235128142,42.6375,95.66135034556086
mean_word_length,65,4.826774066640655,4.837150127226463,0.41752530430047535,3.9049773755656103,6.285714285714286,0,,,,,,65,4.826774066640654,4.837150127226463,0.41752530430047546,3.9049773755656103,6.285714285714286
n_characters,65,1632.2769230769231,1543.0,683.8083500626361,132.0,3497.0,0,,,,,,65,1632.2769230769231,1543.0,683.808350062636,132.0,3497.0
n_sentences,65,10.184615384615384,10.0,4.0073850096271775,1.0,22.0,0,,,,,,65,10.184615384615384,10.0,4.0073850096271775,1.0,22.0
n_stop_words,65,144.98461538461538,146.0,61.43326976985178,7.0,341.0,0,,,,,,65,144.98461538461538,146.0,61.43326976985178,7.0,341.0
n_tokens,65,304.2307692307692,291.0,132.30832471338127,20.0,684.0,0,,,,,,65,304.2307692307692,291.0,132.30832471338127,20.0,684.0
n_unique_tokens,65,141.03076923076924,140.0,47.132117907659726,16.0,243.0,0,,,,,,65,141.03076923076924,140.0,47.13211790765972,16.0,243.0
per_word_perplexity,65,4342896243083.147,407.69756021058345,34945238187258.0,0.0904438627907904,281745475938643.4,0,,,,,,65,4342896243083.147,407.69756021058345,34945238187257.996,0.0904438627907904,281745475938643.4
perplexity,65,3010302985498011.0,134886.6761957849,2.421697602951985e+16,1.8993211186066004,1.9524961482547984e+17,0,,,,,,65,3010302985498012.0,134886.6761957849,2.4216976029519844e+16,1.8993211186066004,1.9524961482547984e+17
pos_prop_ADJ,65,0.08583196314239748,0.0866141732283464,0.028895768908650848,0.0324483775811209,0.1701631701631701,0,,,,,,65,0.08583196314239748,0.0866141732283464,0.028895768908650848,0.0324483775811209,0.1701631701631701
pos_prop_ADP,65,0.17163974221706457,0.171945701357466,0.028871952565013025,0.1154855643044619,0.2857142857142857,0,,,,,,65,0.17163974221706457,0.171945701357466,0.028871952565013022,0.1154855643044619,0.2857142857142857
pos_prop_ADV,65,0.024923823670538976,0.0226171243941841,0.013076221302424739,0.0,0.0594795539033457,0,,,,,,65,0.024923823670538976,0.0226171243941841,0.013076221302424739,0.0,0.0594795539033457
pos_prop_AUX,65,0.021597584113750377,0.0171755725190839,0.013531334190126821,0.0,0.0632911392405063,0,,,,,,65,0.021597584113750373,0.0171755725190839,0.013531334190126821,0.0,0.0632911392405063
pos_prop_CCONJ,65,0.0308039613328213,0.0292207792207792,0.009810920238260397,0.0110294117647058,0.0547263681592039,0,,,,,,65,0.0308039613328213,0.0292207792207792,0.009810920238260398,0.0110294117647058,0.0547263681592039
pos_prop_DET,65,0.12330320635779168,0.1201550387596899,0.03159471707560757,0.0,0.1938325991189427,0,,,,,,65,0.12330320635779168,0.1201550387596899,0.03159471707560757,0.0,0.1938325991189427
pos_prop_INTJ,65,0.0,0.0,0.0,0.0,0.0,0,,,,,,65,0.0,0.0,0.0,0.0,0.0
pos_prop_NOUN,65,0.24426180486219537,0.2426850258175559,0.03826631171955643,0.1824561403508772,0.3809523809523809,0,,,,,,65,0.24426180486219537,0.2426850258175559,0.03826631171955643,0.1824561403508772,0.3809523809523809
pos_prop_NUM,65,0.032400438740110976,0.0248447204968944,0.030029722229659356,0.0,0.1451355661881977,0,,,,,,65,0.032400438740110976,0.0248447204968944,0.03002972222965936,0.0,0.1451355661881977
pos_prop_PART,65,0.00012135201465994307,0.0,0.0008102551140891597,0.0,0.0063795853269537,0,,,,,,65,0.00012135201465994307,0.0,0.0008102551140891596,0.0,0.0063795853269537
pos_prop_PRON,65,0.02599470324019706,0.0206896551724137,0.017253363150544557,0.0,0.0739130434782608,0,,,,,,65,0.02599470324019706,0.0206896551724137,0.017253363150544553,0.0,0.0739130434782608
pos_prop_PROPN,65,0.052045688826450116,0.054054054054054,0.0371657114607063,0.0,0.1578947368421052,0,,,,,,65,0.05204568882645011,0.054054054054054,0.03716571146070631,0.0,0.1578947368421052
pos_prop_PUNCT,65,0.10741020486876536,0.1030534351145038,0.031169734173040753,0.0411522633744856,0.1929824561403508,0,,,,,,65,0.10741020486876536,0.1030534351145038,0.03116973417304075,0.0411522633744856,0.1929824561403508
pos_prop_SCONJ,65,0.011762239787412374,0.0090497737556561,0.009593310832910883,0.0,0.0334128878281622,0,,,,,,65,0.011762239787412374,0.0090497737556561,0.009593310832910883,0.0,0.0334128878281622
pos_prop_SYM,65,0.003728254511781437,0.0,0.006233353695890756,0.0,0.0294117647058823,0,,,,,,65,0.0037282545117814374,0.0,0.006233353695890756,0.0,0.0294117647058823
pos_prop_VERB,65,0.06417503231406244,0.0606060606060606,0.024213025019358916,0.0258481421647819,0.1675977653631284,0,,,,,,65,0.06417503231406244,0.0606060606060606,0.024213025019358916,0.0258481421647819,0.1675977653631284
pos_prop_X,65,0.0,0.0,0.0,0.0,0.0,0,,,,,,65,0.0,0.0,0.0,0.0,0.0
prop_adjacent_dependency_relation_mean,65,0.43564143509532016,0.437336290855449,0.02291782530937526,0.3756670192267832,0.4872717372691397,0,,,,,,65,0.4356414350953202,0.437336290855449,0.022917825309375254,0.3756670192267832,0.4872717372691397
prop_adjacent_dependency_relation_std,65,0.04781336289712067,0.0458993897523043,0.018039096712203783,0.0,0.1136997555110181,0,,,,,,65,0.047813362897120674,0.0458993897523043,0.01803909671220378,0.0,0.1136997555110181
proportion_bullet_points,65,0.0,0.0,0.0,0.0,0.0,0,,,,,,65,0.0,0.0,0.0,0.0,0.0
proportion_ellipsis,65,0.0,0.0,0.0,0.0,0.0,0,,,,,,65,0.0,0.0,0.0,0.0,0.0
proportion_unique_tokens,65,0.48827480334649637,0.4913494809688581,0.07889546295257582,0.296998420221169,0.8,0,,,,,,65,0.4882748033464963,0.4913494809688581,0.07889546295257584,0.296998420221169,0.8
rix,65,10.875359647100538,10.142857142857142,3.4912984594260363,4.5,20.818181818181817,0,,,,,,65,10.875359647100538,10.142857142857142,3.4912984594260354,4.5,20.818181818181817
second_order_coherence,64,0.5526626854675042,0.553311837358134,0.0924585391820733,0.3447513505816459,0.7424399852752686,0,,,,,,64,0.5526626854675042,0.553311837358134,0.09245853918207328,0.3447513505816459,0.7424399852752686
sentence_length_mean,65,30.750620014263742,29.0,10.644808715450013,14.77777777777778,70.33333333333333,0,,,,,,65,30.750620014263735,29.0,10.644808715450017,14.77777777777778,70.33333333333333
sentence_length_median,65,26.6,26.0,8.72639673633969,11.5,54.5,0,,,,,,65,26.6,26.0,8.726396736339689,11.5,54.5
sentence_length_std,65,17.90877338582913,13.84938827369482,15.04538622471729,0.0,104.5636435648431,0,,,,,,65,17.90877338582913,13.84938827369482,15.045386224717292,0.0,104.5636435648431
smog,64,21.42386856131463,21.11880160693286,3.0085683076899445,15.6451,29.19461645722405,0,,,,,,64,21.42386856131463,21.11880160693286,3.0085683076899445,15.6451,29.19461645722405
syllables_per_token_mean,65,2.1057127355413585,2.0985401459854014,0.15696085335151322,1.7424960505529226,2.6,0,,,,,,65,2.1057127355413585,2.0985401459854014,0.1569608533515132,1.7424960505529226,2.6
syllables_per_token_median,65,1.676923076923077,2.0,0.503354134397826,1.0,3.0,0,,,,,,65,1.676923076923077,2.0,0.503354134397826,1.0,3.0
syllables_per_token_std,65,1.2965364618658362,1.307389743656786,0.1208516934327992,0.9785985719029816,1.6420004901823195,0,,,,,,65,1.2965364618658362,1.307389743656786,0.12085169343279915,0.9785985719029816,1.6420004901823195
symbol_to_word_ratio_#,65,0.0,0.0,0.0,0.0,0.0,0,,,,,,65,0.0,0.0,0.0,0.0,0.0
token_length_mean,65,5.295493224994192,5.266524520255864,0.4108055317864311,4.292259083728278,6.55,0,,,,,,65,5.295493224994192,5.266524520255864,0.41080553178643114,4.292259083728278,6.55
token_length_median,65,4.476923076923077,4.0,0.7258118796323085,3.0,6.5,0,,,,,,65,4.476923076923077,4.0,0.7258118796323085,3.0,6.5
token_length_std,65,3.468998710785173,3.4835695956052954,0.31930383214490693,2.693851506208165,4.552187476417447,0,,,,,,65,3.468998710785173,3.4835695956052954,0.319303832144907,2.693851506208165,4.552187476417447
top_ngram_chr_fraction_2,65,0.035649386210711356,0.027661357921207,0.027990260679334807,0.0,0.1350397175639894,0,,,,,,65,0.03564938621071135,0.027661357921207,0.027990260679334803,0.0,0.1350397175639894
top_ngram_chr_fraction_3,65,0.04117877453737325,0.0343593414459556,0.03938450356091171,0.0,0.2582159624413145,0,,,,,,65,0.04117877453737325,0.0343593414459556,0.039384503560911714,0.0,0.2582159624413145
top_ngram_chr_fraction_4,65,0.033355278031099216,0.0223905169575238,0.05100309714071325,0.0,0.3286384976525822,0,,,,,,65,0.033355278031099216,0.0223905169575238,0.05100309714071326,0.0,0.3286384976525822
